Hello my name is David Harrison	Xin chào, tôi tên là David Harrison
I’m an explorer and a professor at VinUniversity	Tôi là một nhà thám hiểm và là một giáo sư tại trường đại học VinUni
Today I want to share why I became an explorer	Hôm nay, tôi muốn chia sẻ với các bạn những điều tôi đã học được
and what I have learned about myself, people, and leadership	về bản thân tôi, về con người và về lãnh đạo
As a child, I was curious	Khi còn nhỏ, tôi đã luôn hiếu kỳ về thế giới xung quanh
I used to read National Geographic Magazine and dream about travel to faraway lands	Tôi đã từng đọc Tạp chí Địa lý Quốc gia và mơ ước được đặt chân đến những vùng đất xa xôi
But I didn’t just want to visit other places	Tôi không chỉ muốn đi để thăm thú các địa danh
I wanted to experience what it was like to be a person in those cultures	mà tôi muốn được trải nghiệm cảm giác là người sống trong chính những nền văn hóa đó
I had curiosity, but I didn’t have the social skills to meet people	Lúc đó tôi có thừa sự hiếu kỳ nhưng lại không có đủ các kỹ năng xã hội cần thiết để gặp gỡ, làm quen với những người xung quanh
or the opportunity to travel	và tôi cũng chưa có cơ hội để du hành
At university I studied linguistics, and anthropology, the science of cultures	Khi tôi vào đại học, tôi theo học ngành Ngôn ngữ học và Nhân học, ngành khoa học về các nền văn hóa
I got a great education at Yale University, I believed I was ready to go out	Được học tập trong nền giáo dục tuyệt vời tại Đại học Yale, tôi tự tin rằng mình đã sẵn sàng để bước ra
into the world, that I had something to contribute	thế giới ngoài kia, và có thể đóng góp điều gì đó
